date,indicateur,pays,iso,CM,BPCE,CA,BNP,SG
2014-12-31,resultats/effectifs,Lituanie,LT,,769230.77,,,
2014-12-31,resultats/effectifs,Croatie,HR,,,,,219328.31
2014-12-31,resultats/effectifs,Tunisie,TN,,133630.29,,227827.50,276647.68
2014-12-31,resultats/effectifs,Émirats Arabes Unis,AE,,250000.00,1707317.07,1600000.00,506329.11
2014-12-31,resultats/effectifs,Russie,RU,,1000000.00,709677.42,1052631.58,89192.03
2014-12-31,resultats/effectifs,Indonésie,ID,,,,2539682.54,
2014-12-31,resultats/effectifs,Taïwan,TW,,1000000.00,1037735.85,1814058.96,6774193.55
2014-12-31,resultats/effectifs,Macédoine,MK,,,,,106666.67
2014-12-31,resultats/effectifs,France,FR,941819.84,493771.95,40469.87,324653.66,61976.29
2014-12-31,resultats/effectifs,Argentine,AR,,392156.86,,2825112.11,
2014-12-31,resultats/effectifs,Laos,LA,,121951.22,,,
2014-12-31,resultats/effectifs,Algérie,DZ,,577200.58,3750000.00,473970.47,446175.64
2014-12-31,resultats/effectifs,États-Unis,US,20119047.62,2468039.77,5548549.81,495144.30,892057.03
2014-12-31,resultats/effectifs,Slovénie,SI,,,,,525686.98
2014-12-31,resultats/effectifs,Suède,SE,,625000.00,2105263.16,64935.06,2419354.84
2014-12-31,resultats/effectifs,Brésil,BR,,1325301.20,960000.00,1671875.00,
2014-12-31,resultats/effectifs,Hong-Kong,HK,,838926.17,638655.46,143253.23,3294797.69
2014-12-31,resultats/effectifs,Burkina Faso,BF,,,,169491.53,365853.66
2014-12-31,resultats/effectifs,Djibouti,DJ,,108303.25,,,
2014-12-31,resultats/effectifs,Belgique,BE,758184.95,2083333.33,1621621.62,850271.62,2165605.10
2014-12-31,resultats/effectifs,Nouvelle-Calédonie,NC,,498652.29,,,1346153.85
2014-12-31,resultats/effectifs,Cameroun,CM,,596774.19,,,304000.00
2014-12-31,resultats/effectifs,Albanie,AL,,,,,125000.00
2014-12-31,resultats/effectifs,Irlande,IE,,17777777.78,5962732.92,8448275.86,2452830.19
2014-12-31,resultats/effectifs,Sénégal,SN,,,,295454.55,
2014-12-31,resultats/effectifs,Corée du Sud,KR,,,2666666.67,466472.30,2867647.06
2014-12-31,resultats/effectifs,Mali,ML,,,,392156.86,
2014-12-31,resultats/effectifs,Pologne,PL,,330188.68,152943.27,101365.77,129206.73
2014-12-31,resultats/effectifs,Portugal,PT,1328320.80,268456.38,1320754.72,586380.83,1294117.65
2014-12-31,resultats/effectifs,Singapour,SG,887850.47,2349397.59,1342925.66,655561.53,2925531.91
2014-12-31,resultats/effectifs,Maurice,MU,,72202.17,,,
2014-12-31,resultats/effectifs,Roumanie,RO,,329670.33,,147420.15,29090.91
2014-12-31,resultats/effectifs,Egypte,EG,,,508326.03,,
2014-12-31,resultats/effectifs,Equateur,EC,,1000000.00,,,
2014-12-31,resultats/effectifs,Guinée Équatoriale,GQ,,,,,415224.91
2014-12-31,resultats/effectifs,Hongrie,HU,130718.95,270270.27,,457256.46,
2014-12-31,resultats/effectifs,Slovaquie,SK,,,909090.91,740740.74,1067961.17
2014-12-31,resultats/effectifs,Grèce,GR,,,,,263157.89
2014-12-31,resultats/effectifs,Bulgarie,BG,,1250000.00,,161137.44,232403.72
2014-12-31,resultats/effectifs,Norvège,NO,,,,200000.00,1859756.10
2014-12-31,resultats/effectifs,Finlande,FI,,,8181818.18,,5000000.00
2014-12-31,resultats/effectifs,Mexique,MX,,,,55248.62,222222.22
2014-12-31,resultats/effectifs,Polynésie Française,PF,,607142.86,,,106007.07
2014-12-31,resultats/effectifs,Nouvelle-Zélande,NZ,,,,277777.78,
2014-12-31,resultats/effectifs,Géorgie,GE,,,,,156903.77
2014-12-31,resultats/effectifs,Moldavie,MD,,,,,81521.74
2014-12-31,resultats/effectifs,Italie,IT,,2737226.28,308706.87,273593.27,588235.29
2014-12-31,resultats/effectifs,Afrique du Sud,ZA,,,,23847.38,750000.00
2014-12-31,resultats/effectifs,Ghana,GH,,,,,155148.10
2014-12-31,resultats/effectifs,Monaco,MC,1111111.11,3125000.00,1140142.52,1037735.85,2000000.00
2014-12-31,resultats/effectifs,Colombie,CO,,,,41493.78,
2014-12-31,resultats/effectifs,Bahamas,BS,,,,,909090.91
2014-12-31,resultats/effectifs,Turquie,TR,,,,345532.23,240000.00
2014-12-31,resultats/effectifs,Serbie,RS,,,11587.49,126582.28,69177.56
2014-12-31,resultats/effectifs,Thaïlande,TH,,,,2222222.22,
2014-12-31,resultats/effectifs,Qatar,QA,,,,810810.81,
2014-12-31,resultats/effectifs,Chili,CL,,,,1006289.31,
2014-12-31,resultats/effectifs,Danemark,DK,,126582.28,,425531.91,2260273.97
2014-12-31,resultats/effectifs,Suisse,CH,85714.29,,449152.54,,507757.40
2014-12-31,resultats/effectifs,Allemagne,DE,43103.45,615384.62,639639.64,713427.82,613162.12
2014-12-31,resultats/effectifs,Australie,AU,,555555.56,15172413.79,1266375.55,
2014-12-31,resultats/effectifs,République Tchèque,CZ,,1428571.43,,1131147.54,694642.01
2014-12-31,resultats/effectifs,Guinée,GN,,,,,413793.10
2014-12-31,resultats/effectifs,Pays-Bas,NL,,1408450.70,973451.33,1437435.37,426829.27
2014-12-31,resultats/effectifs,Côte d'Ivoire,CI,,,,316901.41,418483.00
2014-12-31,resultats/effectifs,Vietnam,VN,,,,3600000.00,
2014-12-31,resultats/effectifs,Japon,JP,,,1297539.15,2042253.52,6302816.90
2014-12-31,resultats/effectifs,Canada,CA,,2368421.05,,1003584.23,1111111.11
2014-12-31,resultats/effectifs,Vanuatu,VU,,363636.36,,,
2014-12-31,resultats/effectifs,Arabie Saoudite,SA,,,,1428571.43,
2014-12-31,resultats/effectifs,Malaisie,MY,,5000000.00,1500000.00,1587301.59,
2014-12-31,resultats/effectifs,Chine,CN,,923076.92,2032520.33,4639175.26,223463.69
2014-12-31,resultats/effectifs,Jersey,JE,,,,1839622.64,913242.01
2014-12-31,resultats/effectifs,Inde,IN,,,2440944.88,389136.60,141129.03
2014-12-31,resultats/effectifs,Congo,CG,,357142.86,,,
2014-12-31,resultats/effectifs,Espagne,ES,817120.62,3536121.67,4638297.87,1698744.77,4145907.47
2014-12-31,resultats/effectifs,Madagascar,MG,,465753.42,,,236024.84
2014-12-31,resultats/effectifs,Ukraine,UA,,,16326.53,,
2014-12-31,resultats/effectifs,Tchad,TD,,,,,307692.31
2014-12-31,resultats/effectifs,Luxembourg,LU,1552346.57,4227941.18,2365019.01,1544759.83,4627450.98
2014-12-31,resultats/effectifs,Guernesey,GG,,,,555555.56,
2014-12-31,resultats/effectifs,Royaume-Uni,GB,7800000.00,2525050.10,3553113.55,1102229.05,828220.86
2014-12-31,resultats/effectifs,Autriche,AT,,,,294117.65,740740.74
2014-12-31,resultats/effectifs,Koweït,KW,,,,1111111.11,
2014-12-31,resultats/effectifs,Bénin,BJ,,,,,45871.56
2014-12-31,resultats/effectifs,Monténégro,ME,,,,,232558.14
2014-12-31,resultats/effectifs,Maroc,MA,,,134813.64,187327.82,344097.41
